# Frequency (cm-1), IR Intensity (km/mol), Raman Intensity (A2/amu)
6.322083400000000353e+01,4.580700000000000049e-02,0.000000000000000000e+00
8.762209400000000414e+01,0.000000000000000000e+00,1.329740699999999975e+01
1.026354840000000053e+02,0.000000000000000000e+00,1.303061399999999992e+01
1.051451660000000032e+02,0.000000000000000000e+00,1.330037599999999998e+01
1.309252600000000086e+02,1.015214899999999965e+01,0.000000000000000000e+00
1.313031719999999893e+02,3.000000000000000076e-06,3.103518000000000221e+00
1.335904549999999915e+02,2.449493000000000009e+01,0.000000000000000000e+00
1.368376240000000053e+02,2.010551900000000103e+01,0.000000000000000000e+00
1.422119240000000104e+02,1.896691699999999869e+01,0.000000000000000000e+00
1.435143319999999960e+02,2.288108700000000084e+01,0.000000000000000000e+00
1.571132240000000024e+02,1.999999999999999909e-06,5.078822999999999865e+00
1.583672689999999932e+02,1.999999999999999909e-06,5.748067999999999955e+00
1.611021310000000142e+02,3.999999999999999819e-06,5.911242999999999803e+00
1.624988140000000101e+02,1.968985899999999845e+01,1.999999999999999909e-06
1.673256969999999910e+02,6.179820000000000313e+00,0.000000000000000000e+00
1.676745540000000005e+02,5.241127999999999787e+00,9.999999999999999547e-07
1.845609190000000126e+02,9.999999999999999547e-07,1.199231999999999942e+01
2.035150509999999997e+02,1.177243900000000032e+01,1.999999999999999909e-06
2.037496570000000133e+02,1.077898199999999918e+01,1.785899999999999987e-02
2.037654499999999871e+02,7.086029999999999829e-01,2.711589999999999834e-01
2.055482340000000079e+02,1.399999999999999979e-05,1.282221999999999973e+00
2.125867509999999925e+02,9.999999999999999547e-07,1.098822700000000019e+01
2.134500840000000039e+02,9.999999999999999547e-07,9.932415999999999912e+00
2.392758849999999882e+02,3.834975000000000023e+00,0.000000000000000000e+00
2.502900300000000016e+02,0.000000000000000000e+00,2.181579999999999853e+00
2.512905350000000055e+02,0.000000000000000000e+00,2.603178999999999910e+00
2.571399230000000102e+02,9.999999999999999547e-07,9.197798000000000584e+00
2.634283280000000218e+02,2.313320000000000098e-01,0.000000000000000000e+00
2.771262859999999932e+02,2.720216999999999885e+01,0.000000000000000000e+00
2.793267180000000280e+02,2.842449600000000132e+01,0.000000000000000000e+00
2.980433350000000132e+02,1.583687000000000067e+00,0.000000000000000000e+00
3.005507569999999760e+02,4.853659999999999641e+00,0.000000000000000000e+00
3.009233290000000238e+02,3.104966999999999810e+00,0.000000000000000000e+00
3.400111650000000054e+02,9.999999999999999547e-07,5.332176999999999722e+00
3.423628459999999905e+02,0.000000000000000000e+00,6.468149000000000370e+00
3.428709670000000074e+02,0.000000000000000000e+00,6.132922999999999902e+00
3.997552190000000110e+02,9.999999999999999547e-07,1.091132499999999972e+01
4.036199349999999981e+02,0.000000000000000000e+00,3.506172999999999984e+00
4.058740250000000174e+02,0.000000000000000000e+00,5.483084999999999987e+00
4.240179479999999899e+02,0.000000000000000000e+00,2.544820000000000082e+00
4.307097079999999778e+02,0.000000000000000000e+00,2.656670999999999783e+00
4.330350920000000201e+02,9.999999999999999547e-07,2.457225999999999910e+00
4.432580699999999752e+02,5.687988899999999859e+01,0.000000000000000000e+00
4.472201350000000275e+02,5.078236000000000416e+00,0.000000000000000000e+00
4.480281200000000013e+02,3.529565999999999981e+00,0.000000000000000000e+00
4.592842860000000087e+02,2.844036099999999934e+01,0.000000000000000000e+00
4.624297119999999950e+02,8.245941999999999439e+00,0.000000000000000000e+00
4.674526089999999954e+02,5.410417999999999950e+00,0.000000000000000000e+00
4.732274350000000140e+02,0.000000000000000000e+00,1.289931799999999917e+01
4.781397489999999948e+02,9.999999999999999547e-07,6.406285999999999703e+00
4.819949819999999931e+02,0.000000000000000000e+00,5.386721999999999788e+00
5.307280150000000276e+02,1.700288799999999867e+01,0.000000000000000000e+00
5.381516709999999648e+02,2.888237000000000165e+00,0.000000000000000000e+00
5.399651880000000119e+02,3.826084999999999958e+00,0.000000000000000000e+00
5.536235669999999800e+02,1.950618059999999900e+02,9.999999999999999547e-07
5.564653769999999895e+02,9.999999999999999547e-07,1.969007500000000022e+01
5.576491640000000416e+02,5.000000000000000409e-06,2.348208400000000040e+01
5.626385450000000219e+02,1.311471300000000006e+01,3.999999999999999819e-06
5.649277359999999817e+02,1.327122600000000041e+01,1.699999999999999987e-05
5.712262620000000197e+02,9.999999999999999547e-07,2.685662770000000137e+02
6.141608189999999468e+02,1.163686999999999916e+00,0.000000000000000000e+00
6.157186359999999468e+02,1.722224500000000091e+01,0.000000000000000000e+00
6.161088290000000143e+02,1.861744399999999899e+01,0.000000000000000000e+00
6.461761880000000247e+02,0.000000000000000000e+00,7.377523300000000006e+01
6.499010009999999511e+02,0.000000000000000000e+00,7.834121999999999808e+00
6.507153499999999440e+02,0.000000000000000000e+00,1.139927899999999994e+01
6.930795329999999694e+02,0.000000000000000000e+00,5.505361999999999867e+00
6.935088220000000092e+02,9.999999999999999547e-07,2.976767000000000163e+00
6.936537720000000036e+02,9.999999999999999547e-07,7.173955000000000304e+00
7.112730169999999816e+02,0.000000000000000000e+00,3.976144999999999818e+00
7.120225000000000364e+02,9.999999999999999547e-07,1.380600399999999972e+01
7.152386569999999892e+02,9.999999999999999547e-07,1.055067339999999945e+02
7.811490250000000515e+02,9.999999999999999547e-07,1.527747500000000080e+01
7.816253430000000435e+02,0.000000000000000000e+00,1.049115300000000062e+01
7.818833069999999452e+02,9.999999999999999547e-07,6.845871999999999957e+00
7.905621720000000323e+02,8.863094200000000455e+01,9.999999999999999547e-07
7.920485869999999977e+02,3.353700049999999919e+02,0.000000000000000000e+00
7.931147859999999810e+02,1.612971229999999991e+02,0.000000000000000000e+00
7.964421310000000176e+02,5.589439999999999964e-01,5.413348610000000463e+02
7.964561650000000554e+02,5.018831749999999943e+02,6.009299999999999642e-01
7.978820729999999912e+02,4.924572049999999876e+02,9.999999999999999547e-07
7.989585270000000037e+02,6.000000000000000152e-06,8.234397400000000289e+01
8.009417630000000372e+02,2.699999999999999899e-05,7.111845599999999479e+01
8.051041000000000167e+02,1.358639100000000077e+01,1.000000000000000082e-05
8.338437639999999647e+02,5.569330670000000509e+02,0.000000000000000000e+00
8.498601250000000391e+02,2.906431610000000205e+02,0.000000000000000000e+00
8.716627240000000256e+02,1.737671780000000012e+02,0.000000000000000000e+00
8.805870009999999866e+02,5.712787009999999555e+02,0.000000000000000000e+00
8.817453829999999471e+02,7.999999999999999638e-06,1.099121399999999937e+01
8.847368189999999686e+02,6.831192539999999553e+02,0.000000000000000000e+00
8.889328299999999672e+02,6.000000000000000152e-06,7.497728999999999644e+00
8.898745280000000548e+02,3.999999999999999819e-06,3.574897399999999692e+01
8.908171360000000050e+02,9.999999999999999547e-07,5.747628999999999877e+00
8.995539959999999837e+02,8.469999999999999881e-04,2.724123799999999918e+01
8.995978910000000042e+02,2.463010699999999886e+01,9.740000000000000394e-04
9.005873100000000022e+02,4.651389499999999799e+01,9.999999999999999547e-07
9.007403649999999971e+02,7.993646400000000085e+01,0.000000000000000000e+00
9.041323720000000321e+02,3.999999999999999819e-06,2.504758100000000098e+01
9.052692990000000464e+02,3.299893470000000093e+02,9.999999999999999547e-07
9.402062710000000152e+02,1.327869220000000041e+03,0.000000000000000000e+00
9.479192829999999503e+02,1.326813609000000042e+03,0.000000000000000000e+00
9.672271299999999883e+02,0.000000000000000000e+00,4.464739999999999931e+00
9.949445620000000190e+02,9.749119120000000294e+02,0.000000000000000000e+00
1.012919524000000024e+03,0.000000000000000000e+00,3.025915300000000130e+01
1.019181080999999949e+03,1.953846739999999897e+02,0.000000000000000000e+00
1.030259135999999899e+03,0.000000000000000000e+00,3.965666999999999831e+00
1.045347481999999900e+03,0.000000000000000000e+00,1.463738500000000009e+01
1.048791044000000056e+03,7.313682900000000586e+01,0.000000000000000000e+00
1.051896870999999919e+03,0.000000000000000000e+00,7.280907000000000018e+00
1.059456672000000026e+03,0.000000000000000000e+00,8.788223000000000340e+00
1.061445445000000063e+03,9.999999999999999547e-07,8.657650999999999542e+00
1.070914518000000044e+03,8.658515599999999779e+01,0.000000000000000000e+00
1.073557960000000094e+03,9.999999999999999547e-07,2.342937900000000084e+01
1.086770925999999918e+03,0.000000000000000000e+00,2.807251199999999969e+01
1.113417834999999968e+03,1.807460710000000006e+02,0.000000000000000000e+00
1.115302374000000100e+03,4.410268200000000149e+01,0.000000000000000000e+00
1.117682951999999887e+03,3.387335000000000207e+01,0.000000000000000000e+00
1.188411055000000033e+03,1.807462299000000030e+03,0.000000000000000000e+00
1.195522799000000077e+03,3.456268650000000093e+02,9.999999999999999547e-07
1.196612446000000091e+03,3.281518409999999903e+02,9.999999999999999547e-07
1.217708773000000065e+03,0.000000000000000000e+00,7.752135300000000484e+01
1.217962279999999964e+03,9.999999999999999547e-07,1.914066000000000045e+01
1.218051243999999997e+03,0.000000000000000000e+00,1.851692600000000155e+01
1.269407138000000032e+03,4.648695660000000203e+02,3.100000000000000135e-05
1.269805802000000085e+03,4.701318089999999756e+02,1.600000000000000131e-04
1.270623898000000054e+03,1.206073709000000008e+03,1.640000000000000019e-04
1.273934287999999924e+03,6.600000000000000506e-05,4.797575982999999724e+03
1.282244112999999970e+03,0.000000000000000000e+00,5.192179830000000038e+02
1.283368919999999889e+03,3.999999999999999819e-06,4.876024180000000001e+02
1.344283167999999932e+03,9.201475080000000162e+02,0.000000000000000000e+00
1.344841724999999997e+03,8.592063789999999699e+02,0.000000000000000000e+00
1.345438157000000047e+03,3.728344280000000026e+02,0.000000000000000000e+00
1.396625119999999924e+03,2.809999999999999998e-04,5.820847649999999476e+02
1.398230434999999943e+03,8.270000000000000441e-04,5.099254960000000096e+02
1.399134062999999969e+03,3.275297558000000208e+03,1.779999999999999898e-04
1.399914430000000038e+03,3.329962560999999823e+03,5.000000000000000240e-05
1.403675293000000011e+03,9.899999999999999404e-05,4.218395013999999719e+03
1.426198360999999977e+03,2.626475543999999900e+03,9.999999999999999547e-07
1.441606078000000025e+03,6.625507880000000114e+02,0.000000000000000000e+00
1.441975085999999919e+03,6.531502199999999903e+02,0.000000000000000000e+00
1.465574769000000060e+03,1.968174699999999859e+02,5.000000000000000409e-06
1.471868733000000020e+03,0.000000000000000000e+00,9.745090740000000551e+02
1.473623712000000069e+03,1.099999999999999971e-05,1.268801440000000014e+02
1.474088428999999905e+03,6.999999999999999895e-06,6.938270400000000393e+01
1.525527955999999904e+03,1.478719417999999905e+03,1.399999999999999979e-05
1.525883614000000080e+03,1.779666641999999911e+03,7.600000000000000418e-05
1.526243523999999979e+03,2.372031184999999823e+03,4.399999999999999886e-05
1.529003580000000056e+03,2.199999999999999943e-05,3.462121944999999869e+03
1.534961213000000043e+03,5.000000000000000409e-06,5.823588160000000471e+02
1.535324761999999964e+03,6.000000000000000152e-06,4.928668529999999919e+02
1.610375986999999895e+03,0.000000000000000000e+00,5.710171440000000302e+02
1.610837651000000051e+03,0.000000000000000000e+00,5.252328909999999951e+02
1.612021762999999964e+03,0.000000000000000000e+00,6.153148820000000114e+02
3.136352049999999963e+03,3.177929999999999922e+01,3.661999999999999891e-03
3.136547778000000108e+03,2.488564399999999921e+01,1.190199999999999939e-02
3.136600891000000047e+03,1.026000000000000002e-03,5.219964919999999893e+02
3.136840455000000020e+03,2.341999999999999898e-03,5.312068839999999454e+02
3.136986155000000053e+03,3.146281400000000161e+01,2.406399999999999859e-02
3.137236112000000048e+03,9.799999999999999684e-05,5.835471730000000434e+02
